target,source
Samson (1961),Beata Krupska-Tyszkiewicz
Samson (1961),Elżbieta Kępińska
Samson (1961),Irena Netto
Samson (1961),Edmund Fetting
Samson (1961),Alina Janowska
Samson (1961),Andrzej Herder
Samson (1961),Tadeusz Bartosik
Samson (1961),Władysław Kowalski
Samson (1961),Jan Ciecierski
Pierwszy dzień wolności (1964),Beata Tyszkiewicz
Pierwszy dzień wolności (1964),Elżbieta Czyżewska
Pierwszy dzień wolności (1964),Tadeusz Łomnicki
Pierwszy dzień wolności (1964),Michaił Pugowkin
Pierwszy dzień wolności (1964),Roman Kłosowski
Pierwszy dzień wolności (1964),Wsiewołod Sanajew
Pierwszy dzień wolności (1964),Kazimierz Rudzki
Pierwszy dzień wolności (1964),Tadeusz Fijewski
Pierwszy dzień wolności (1964),Mieczysław Stoor
Orzeł (1958),Zygmunt Hübner
Orzeł (1958),Wieńczysław Gliński
Orzeł (1958),Stanisław Bareja
Orzeł (1958),Jan Machulski
Orzeł (1958),Stanisław Milski
Orzeł (1958),Henryk Bąk
Orzeł (1958),Aleksander Sewruk
Orzeł (1958),Ignacy Machowski
Orzeł (1958),Bronisław Pawlik
Orzeł (1958),Andrzej Herder
Orzeł (1958),Jerzy Nowak
Orzeł (1958),Józef Łodyński
Pokolenie (1954),Roman Polański
Pokolenie (1954),Zbigniew Cybulski
Pokolenie (1954),Tadeusz Janczar
Pokolenie (1954),August Kowalczyk
Pokolenie (1954),Urszula Modrzyńska
Pokolenie (1954),Tadeusz Łomnicki
Pokolenie (1954),Stanisław Milski
Pokolenie (1954),Ludwik Benoit
Pokolenie (1954),Wiesław Gołas
Pokolenie (1954),Zygmunt Zintel
Pokolenie (1954),Ryszard Kotys
Pokolenie (1954),Janusz Paluszkiewicz
Pokolenie (1954),Kazimierz Wichniarz
Pokolenie (1954),Tadeusz Fijewski
Pokolenie (1954),Zofia Czerwińska
Pokolenie (1954),Cezary Julski
Pokolenie (1954),Jerzy Krasowski
Pokolenie (1954),Hanna Skarżanka
Pokolenie (1954),Ryszard Ber
Pokolenie (1954),Mieczysław Kalenik
Pokolenie (1954),Zygmunt Hobot
Pokolenie (1954),Bronisław Kassowski
Pokolenie (1954),Janusz Ściwiarski
Krajobraz po bitwie (1970),Jerzy Zelnik
Krajobraz po bitwie (1970),Zygmunt Malanowicz
Krajobraz po bitwie (1970),Małgorzata Braunek
Krajobraz po bitwie (1970),Stanisława Celińska
Krajobraz po bitwie (1970),Anna German
Krajobraz po bitwie (1970),Tadeusz Janczar
Krajobraz po bitwie (1970),Aleksander Bardini
Krajobraz po bitwie (1970),Daniel Olbrychski
Krajobraz po bitwie (1970),Leszek Drogosz
Krajobraz po bitwie (1970),Agnieszka Fitkau-Perepeczko
Krajobraz po bitwie (1970),Mieczysław Stoor
Jak być kochaną (1963),Zbigniew Cybulski
Jak być kochaną (1963),Zdzisław Maklakiewicz
Jak być kochaną (1963),Barbara Krafftówna
Jak być kochaną (1963),Mirosława Krajewska
Jak być kochaną (1963),Wieńczysław Gliński
Jak być kochaną (1963),Wiesław Gołas
Jak być kochaną (1963),Wiesława Kwaśniewska
Jak być kochaną (1963),Tadeusz Kalinowski
Eroica (1957),Roman Polański
Eroica (1957),Kazimierz Opaliński
Eroica (1957),Bogumił Kobiela
Eroica (1957),Tadeusz Janczar
Eroica (1957),Leon Niemczyk
Eroica (1957),Wojciech Siemion
Eroica (1957),Tadeusz Łomnicki
Eroica (1957),Stanisław Bareja
Eroica (1957),Roman Wilhelmi
Eroica (1957),Józef Nowak
Eroica (1957),Witold Pyrkosz
Eroica (1957),Mariusz Dmochowski
Eroica (1957),Roman Kłosowski
Eroica (1957),Bogdan Baer
Eroica (1957),Henryk Bąk
Eroica (1957),Edward Dziewoński
Eroica (1957),Tomasz Zaliwski
Eroica (1957),Emil Karewicz
Eroica (1957),Ignacy Machowski
Eroica (1957),Barbara Połomska
Eroica (1957),Kazimierz Rudzki
Eroica (1957),Zofia Czerwińska
Eroica (1957),Michał Szewczyk
Eroica (1957),Teresa Szmigielówna
Eroica (1957),Tomasz Lengren
Eroica (1957),Zygmunt Listkiewicz
Eroica (1957),Jerzy Felczyński
Eroica (1957),Julian Dziedzina
Eroica (1957),Józef Kostecki
Eroica (1957),Mieczysław Waśkowski
Eroica (1957),Roman Hubczenko
Popiół i diament (1958),Zbigniew Cybulski
Popiół i diament (1958),Barbara Krafftówna
Popiół i diament (1958),Bogumił Kobiela
Popiół i diament (1958),Stanisław Milski
Popiół i diament (1958),Ignacy Machowski
Popiół i diament (1958),Adam Pawlikowski
Popiół i diament (1958),Ewa Krzyżewska
Popiół i diament (1958),Jan Ciecierski
Popiół i diament (1958),Wacław Zastrzeżyński
Fotoamator (1998),Arnold Mostowicz
Generał - zamach na Gibraltarze (2009),Krzysztof Pieczyński
Nieznany (1964),Leszek Herdegen
Ulica Graniczna (1948),Władysław Walter
Ulica Graniczna (1948),Ida Kamińska
Ulica Graniczna (1948),Gustav Nezval
Ulica Graniczna (1948),Jerzy Leszczyński
Ulica Graniczna (1948),Mieczysława Ćwiklińska
Ulica Graniczna (1948),Edward Dziewoński
Ulica Graniczna (1948),Tadeusz Fijewski
Ulica Graniczna (1948),Jerzy Pichelski
"Biegnij, chłopcze, biegnij",Zbigniew Zamachowski
"Biegnij, chłopcze, biegnij",Rainer Bock
"Biegnij, chłopcze, biegnij",Jeanette Hain
"Biegnij, chłopcze, biegnij",Grażyna Szapołowska
"Biegnij, chłopcze, biegnij",Mirosław Baka
"Biegnij, chłopcze, biegnij",Itaj Tiran
"Biegnij, chłopcze, biegnij",Urs Rechn
"Biegnij, chłopcze, biegnij",Elisabeth Duda
"Biegnij, chłopcze, biegnij",Izabela Kuna
"Biegnij, chłopcze, biegnij",Przemysław Sadowski
"Biegnij, chłopcze, biegnij",Andrzej Tkacz
